COD_STRUMENTO;DESCR_STRUMENTO;DESCR_TIPO_STRUMENTO;OC_CODICE_PROGRAMMA;x_CICLO;x_AMBITO;x_PROGRAMMA;QUERY;NOTE
PO17;Collegamento tra Tangenziale di Napoli (Via Campana), rete viaria costiera e porto di Pozzuoli;STRUMENTI ATTUAZIONE DIRETTA;2017NAPOLI-POZZ;2007-2013;FSC;COLLEGAMENTO PORTO DI POZZUOLI;0;
3;Piano Operativo FSC 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;FSCCOMUNI;2007-2013;FSC;RISORSE FSC ASSEGNATE AI COMUNI;0;
01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014TC16I5CB008;2014-2020;CTE;IPA-CBC ITA-ALB-MON;0;
01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014IT05SFOP014;2014-2020;FSE;POR SICILIA FSE;0;
01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014IT05SFOP010;2014-2020;FSE;POR UMBRIA FSE;0;
01:::UM201;PROGRAMMA OPERATIVO 2014-2020:::APQ aree interne UMBRIA - SUD-OVEST ORVIETANO;STRUMENTI ATTUAZIONE DIRETTA:::ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014IT05SFOP010;2014-2020;FSE;POR UMBRIA FSE;0;
CIPE_5;Delibera CIPE n.57/2016;STRUMENTI ATTUAZIONE DIRETTA;FSCCOMUNI;2007-2013;FSC;RISORSE FSC ASSEGNATE AI COMUNI;0;
01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014IT16RFOP009;2014-2020;FESR;POR FRIULI-VENEZIA GIULIA FESR;0;
FR2017001;APQ Aree Interne Friuli Venezia Giulia - Alta Carnia;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014IT16RFOP009;2014-2020;FESR;POR FRIULI-VENEZIA GIULIA FESR;0;
01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;FSCCOMUNI;2007-2013;FSC;RISORSE FSC ASSEGNATE AI COMUNI;0;
CIPE_9;Delibera CIPE n. 97/2017;STRUMENTI ATTUAZIONE DIRETTA;FSCCOMUNI;2007-2013;FSC;RISORSE FSC ASSEGNATE AI COMUNI;0;
01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014IT05SFOP015;2014-2020;FSE;POR TOSCANA FSE;0;
01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
01:::3;PROGRAMMA OPERATIVO 2014-2020:::Piano Operativo FSC 2014-2020;STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2017PPORTTARFSC;2007-2013;FSC;PIASTRA PORTUALE DI TARANTO;0;
SDA-1;procedura attuativa regionale;STRUMENTI ATTUAZIONE DIRETTA;2014IT16RFOP017;2014-2020;FESR;POR TOSCANA FESR;0;
