ANNO_VARIAZIONE;TIPO_VARIAZIONE;COD_COMUNE_OLD;DEN_COMUNE_OLD;COD_COMUNE;DEN_COMUNE;QUERY;AMBITO;AMBITO_SUB
2016;AP;105000;tutti i comuni;091000;tutti i comuni;0;;
2016;AP;104000;tutti i comuni;090000;tutti i comuni;0;;
2016;AP;106000;tutti i comuni;111000;tutti i comuni;0;;
2016;AP;107000;tutti i comuni;111000;tutti i comuni;0;;
2099;X;001001;Agliè;001001;Agliè;0;;
2099;X;001002;Airasca;001002;Airasca;0;;
2099;X;001003;Ala di Stura;001003;Ala di Stura;0;;
2099;X;001004;Albiano d'Ivrea;001004;Albiano d'Ivrea;0;;
2099;X;001006;Almese;001006;Almese;0;;
2099;X;001007;Alpette;001007;Alpette;0;;
2099;X;001008;Alpignano;001008;Alpignano;0;;
2099;X;001009;Andezeno;001009;Andezeno;0;;
2099;X;001010;Andrate;001010;Andrate;0;;
2099;X;001011;Angrogna;001011;Angrogna;0;;
2099;X;001012;Arignano;001012;Arignano;0;;
2099;X;001013;Avigliana;001013;Avigliana;0;;
2099;X;001014;Azeglio;001014;Azeglio;0;;
2099;X;001015;Bairo;001015;Bairo;0;;
2099;X;001016;Balangero;001016;Balangero;0;;
2099;X;001017;Baldissero Canavese;001017;Baldissero Canavese;0;;
2099;X;001018;Baldissero Torinese;001018;Baldissero Torinese;0;;
2099;X;001019;Balme;001019;Balme;0;;
2099;X;001020;Banchette;001020;Banchette;0;;
2099;X;001021;Barbania;001021;Barbania;0;;
2099;X;001022;Bardonecchia;001022;Bardonecchia;0;;
2099;X;001023;Barone Canavese;001023;Barone Canavese;0;;
2099;X;001024;Beinasco;001024;Beinasco;0;;
2099;X;001025;Bibiana;001025;Bibiana;0;;
2099;X;001026;Bobbio Pellice;001026;Bobbio Pellice;0;;
2099;X;001027;Bollengo;001027;Bollengo;0;;
2099;X;001028;Borgaro Torinese;001028;Borgaro Torinese;0;;
2099;X;001029;Borgiallo;001029;Borgiallo;0;;
2099;X;001030;Borgofranco d'Ivrea;001030;Borgofranco d'Ivrea;0;;
2099;X;001031;Borgomasino;001031;Borgomasino;0;;
2099;X;001032;Borgone Susa;001032;Borgone Susa;0;;
2099;X;001033;Bosconero;001033;Bosconero;0;;
2099;X;001034;Brandizzo;001034;Brandizzo;0;;
2099;X;001035;Bricherasio;001035;Bricherasio;0;;
2099;X;001036;Brosso;001036;Brosso;0;;
2099;X;001037;Brozolo;001037;Brozolo;0;;
2099;X;001038;Bruino;001038;Bruino;0;;
2099;X;001039;Brusasco;001039;Brusasco;0;;
2099;X;001040;Bruzolo;001040;Bruzolo;0;;
2099;X;001041;Buriasco;001041;Buriasco;0;;
2099;X;001042;Burolo;001042;Burolo;0;;
2099;X;001043;Busano;001043;Busano;0;;
2099;X;001044;Bussoleno;001044;Bussoleno;0;;
2099;X;001045;Buttigliera Alta;001045;Buttigliera Alta;0;;
2099;X;001046;Cafasse;001046;Cafasse;0;;
2099;X;001047;Caluso;001047;Caluso;0;;
2099;X;001048;Cambiano;001048;Cambiano;0;;
2099;X;001049;Campiglione Fenile;001049;Campiglione Fenile;0;;
2099;X;001050;Candia Canavese;001050;Candia Canavese;0;;
2099;X;001051;Candiolo;001051;Candiolo;0;;
2099;X;001052;Canischio;001052;Canischio;0;;
2099;X;001053;Cantalupa;001053;Cantalupa;0;;
2099;X;001054;Cantoira;001054;Cantoira;0;;
2099;X;001055;Caprie;001055;Caprie;0;;
2099;X;001056;Caravino;001056;Caravino;0;;
2099;X;001057;Carema;001057;Carema;0;;
2099;X;001058;Carignano;001058;Carignano;0;;
2099;X;001059;Carmagnola;001059;Carmagnola;0;;
2099;X;001060;Casalborgone;001060;Casalborgone;0;;
2099;X;001061;Cascinette d'Ivrea;001061;Cascinette d'Ivrea;0;;
2099;X;001062;Caselette;001062;Caselette;0;;
2099;X;001063;Caselle Torinese;001063;Caselle Torinese;0;;
2099;X;001064;Castagneto Po;001064;Castagneto Po;0;;
2099;X;001065;Castagnole Piemonte;001065;Castagnole Piemonte;0;;
2099;X;001066;Castellamonte;001066;Castellamonte;0;;
2099;X;001067;Castelnuovo Nigra;001067;Castelnuovo Nigra;0;;
2099;X;001068;Castiglione Torinese;001068;Castiglione Torinese;0;;
