OC_COD_CICLO;OC_DESCR_CICLO;OC_CODICE_PROGRAMMA;OC_DESCRIZIONE_PROGRAMMA;OC_ARTICOLAZIONE_PROGRAMMA;OC_COD_ARTICOLAZ_PROGRAMMA;OC_DESCR_ARTICOLAZ_PROGRAMMA;OC_SUBARTICOLAZIONE_PROGRAMMA;OC_COD_SUBARTICOLAZ_PROGRAMMA;OC_DESCR_SUBARTICOLAZ_PROGRAMMA;QUERY;NOTE
1;Ciclo di programmazione 2007-2013;2017NAPOLI-POZZ;COLLEGAMENTO TANGENZIALE DI NAPOLI AL PORTO DI POZZUOLI;LINEA;1;Infrastrutture;AZIONE;1;Infrastrutture di trasporto ferroviario e stradale;0;
1;Ciclo di programmazione 2007-2013;FSCCOMUNI;RISORSE FSC ASSEGNATE AI COMUNI;LINEA;2;Ambiente;AZIONE;5;Cambiamento climatico, prevenzione e gestione dei;0;
2;Ciclo di programmazione 2014-2020;2014TC16I5CB008;PROGRAMMA IPA INTERREG CBC ITALIA-ALBANIA-MONTENEGRO;ASSE;;;OBIETTIVO SPECIFICO;;;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;5;Assistenza tecnica;OBIETTIVO SPECIFICO;5.a;Rafforzare i processi di programmazione, attuazion;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;3;ASSE 3 - ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;10.1;Riduzione del fallimento formativo precoce e della;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;1;ASSE 1 - OCCUPAZIONE;OBIETTIVO SPECIFICO;8.1;Aumentare l'occupazione dei giovani;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;2;ASSE 2 - INCLUSIONE SOCIALE E LOTTA ALLA POVERTA';OBIETTIVO SPECIFICO;9.3;Aumento/ consolidamento/qualificazione dei servizi;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;1;ASSE 1 - OCCUPAZIONE;OBIETTIVO SPECIFICO;8.5;Favorire l'inserimento lavorativo e l'occupazione;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;3;ASSE 3 - ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;10.3;Innalzamento del livello di istruzione della popol;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;4;Asse 4 - CAPACITÃ ISTITUZIONALE E AMMINISTRATIVA;OBIETTIVO SPECIFICO;11.4;Miglioramento dell'efficienza e della qualitÃ  del;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;3;ASSE 3 - ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;10.5;Innalzamento dei livelli di competenze, di parteci;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;4;Asse 4 - CAPACITÃ ISTITUZIONALE E AMMINISTRATIVA;OBIETTIVO SPECIFICO;11.6;Miglioramento della governance multilivello e dell;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;2;ASSE 2 - INCLUSIONE SOCIALE E LOTTA ALLA POVERTA';OBIETTIVO SPECIFICO;9.2;Incremento dell'occupabilitÃ  e della partecipazio;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;3;ASSE 3 - ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;10.6;Qualificazione dell'offerta di istruzione e formaz;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;2;ASSE 2 - INCLUSIONE SOCIALE E LOTTA ALLA POVERTA';OBIETTIVO SPECIFICO;9.1;Riduzione della povertÃ  e dell'esclusione sociale;0;
2;Ciclo di programmazione 2014-2020;2017POCSICILIA1;POC SICILIA;ASSE TEMATICO;17;Rafforzamento del capitale umano e miglioramento della qualitÃ  e dell'efficacia dei sistemi formati;LINEA-AZIONE;1;Interventi inseriti nel Piano dei servizi formativ;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;3;ASSE 3 - ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;10.4;Accrescimento delle competenze della forza lavoro;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;5;Assistenza tecnica;OBIETTIVO SPECIFICO;5.b;Rafforzare il sistema di valutazione dal Programma;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;1;ASSE 1 - OCCUPAZIONE;OBIETTIVO SPECIFICO;8.7;Migliorare l'efficienza e la qualitÃ  dei servizi;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;1;OCCUPAZIONE;OBIETTIVO SPECIFICO;1;Favorire l'inserimento lavorativo e l'occupazione;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;1;OCCUPAZIONE;OBIETTIVO SPECIFICO;1;Aumentare l'occupazione dei giovani;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;1;OCCUPAZIONE;OBIETTIVO SPECIFICO;1;Migliorare l'efficacia e la qualitÃ  dei servizi a;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;2;INCLUSIONE SOCIALE E LOTTA ALLA POVERTA';OBIETTIVO SPECIFICO;2;Incremento dell'occupabilitÃ  e della partecipazio;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;2;INCLUSIONE SOCIALE E LOTTA ALLA POVERTA';OBIETTIVO SPECIFICO;3;Rafforzamento dell'economia sociale;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;2;INCLUSIONE SOCIALE E LOTTA ALLA POVERTA';OBIETTIVO SPECIFICO;1;Aumento/consolidamento/qualificazione dei servizi;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;3;ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;1;Riduzione del fallimento formativo precoce e della;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;3;ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;1;Innalzamento dei livelli di competenze, di parteci;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;3;ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;1;Accrescimento delle competenze della forza lavoro;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;4;CAPACITA' ISTITUZIONALE E AMMINISTRATIVA;OBIETTIVO SPECIFICO;1;Aumento della trasparenza e interoperabilitÃ , e d;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;4;CAPACITA' ISTITUZIONALE E AMMINISTRATIVA;OBIETTIVO SPECIFICO;2;Miglioramento delle prestazioni della pubblica amm;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;4;CAPACITA' ISTITUZIONALE E AMMINISTRATIVA;OBIETTIVO SPECIFICO;3;Miglioramento della governance multilivello e dell;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;5;Assistenza Tecnica;OBIETTIVO SPECIFICO;1;Sostenere e migliorare l'esecuzione del programma;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;2;INCLUSIONE SOCIALE E LOTTA ALLA POVERTA';OBIETTIVO SPECIFICO;1;Riduzione della povertÃ , dell'esclusione sociale;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;3;ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;2;Miglioramento delle competenze chiave degli alliev;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;1;OCCUPAZIONE;OBIETTIVO SPECIFICO;1;Favorire la permanenza al lavoro e la ricollocazio;0;
1;Ciclo di programmazione 2007-2013;FSCCOMUNI;RISORSE FSC ASSEGNATE AI COMUNI;LINEA;1;Infrastrutture;AZIONE;10;Infrastrutture pubbliche, didattiche/universitarie;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;1;Rafforzare la Ricerca, lo sviluppo tecnologico e l'innovazio;OBIETTIVO SPECIFICO;1;Incremento dell'attivitÃ  di innovazione delle imp;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;3;Sostenere la transizione verso un'economia a basse emissioni;OBIETTIVO SPECIFICO;1;Riduzione dei consumi energetici negli edifici e n;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;2;Promuovere la competitivitÃ  delle PMI;OBIETTIVO SPECIFICO;1;Rilancio della propensione agli investimenti del s;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;4;Sviluppo urbano;OBIETTIVO SPECIFICO;2;Potenziamento della domanda di ICT di cittadini e;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;1;Rafforzare la Ricerca, lo sviluppo tecnologico e l'innovazio;OBIETTIVO SPECIFICO;6;Promuovere gli investimenti necessari per il raffo;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;5;Assistenza Tecnica;OBIETTIVO SPECIFICO;5;Assistenza Tecnica;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;2;Promuovere la competitivitÃ  delle PMI;OBIETTIVO SPECIFICO;2;Sviluppo occupazionale e produttivo in aree territ;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;2;Promuovere la competitivitÃ  delle PMI;OBIETTIVO SPECIFICO;5;Nascita e consolidamento delle Micro, Piccole e Me;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;4;Sviluppo urbano;OBIETTIVO SPECIFICO;7;Miglioramento delle condizioni e degli standard di;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;4;Sviluppo urbano;OBIETTIVO SPECIFICO;6;Aumento della mobilitÃ  sostenibile nelle aree urb;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;1;Rafforzare la Ricerca, lo sviluppo tecnologico e l'innovazio;OBIETTIVO SPECIFICO;4;Aumento dell'incidenza di specializzazioni innovat;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;4;Sviluppo urbano;OBIETTIVO SPECIFICO;3;Consolidamento, modernizzazione e diversificazione;0;
2;Ciclo di programmazione 2014-2020;2020AREAINTLAZ;STRATEGIA AREE INTERNE REGIONE LAZIO SERVIZI;AREA;a.001;Valle di Comino;AMBITO;1;Salute;0;
2;Ciclo di programmazione 2014-2020;2020AREAINTLAZ;STRATEGIA AREE INTERNE REGIONE LAZIO SERVIZI;AREA;a.001;Valle di Comino;AMBITO;3;Istruzione;0;
2;Ciclo di programmazione 2014-2020;2020AREAINTLAZ;STRATEGIA AREE INTERNE REGIONE LAZIO SERVIZI;AREA;a.001;Valle di Comino;AMBITO;2;MobilitÃÂ ;0;
2;Ciclo di programmazione 2014-2020;2020AREAINTLAZ;STRATEGIA AREE INTERNE REGIONE LAZIO SERVIZI;AREA;a.001;Valle di Comino;AMBITO;9;Assistenza Tecnica;0;
1;Ciclo di programmazione 2007-2013;FSCCOMUNI;RISORSE FSC ASSEGNATE AI COMUNI;LINEA;1;Infrastrutture;AZIONE;8;Infrastrutture pubbliche, didattiche/universitarie;0;
1;Ciclo di programmazione 2007-2013;FSCCOMUNI;RISORSE FSC ASSEGNATE AI COMUNI;LINEA;1;Infrastrutture;AZIONE;7;Rigenerazione urbana;0;
1;Ciclo di programmazione 2007-2013;FSCCOMUNI;RISORSE FSC ASSEGNATE AI COMUNI;LINEA;1;Infrastrutture;AZIONE;3;Infrastrutture aeroportuali;0;
