COD_PROGETTO_COMPLESSO;DESCRIZIONE_PROGETTO_COMPLESSO;COD_TIPO_COMPLESSITA;DESCR_TIPO_COMPLESSITA;OC_CODICE_PROGRAMMA;x_CICLO;x_AMBITO;x_PROGRAMMA;QUERY;NOTE
PC01082SAIUM2017001;Strategia Aree Interne UMBRIA - SUD-OVEST ORVIETANO;SAI;Strategia Aree Interne;2014IT05SFOP010;2014-2020;FSE;POR UMBRIA FSE;0;
PC04570UM2021002;Strategia aree interne UMBRIA - Valnerina;SAI;Strategia Aree Interne;2014IT05SFOP010;2014-2020;FSE;POR UMBRIA FSE;0;
PC01550SAIUM2019001;Strategia Aree Interne UMBRIA - Nord-Est Umbria;SAI;Strategia Aree Interne;2014IT05SFOP010;2014-2020;FSE;POR UMBRIA FSE;0;
PC01441SAIFR2017001;Strategia Aree Interne Regione Friuli Venezia Giulia - Alta Carnia;SAI;Strategia Aree Interne;2014IT16RFOP009;2014-2020;FESR;POR FRIULI-VENEZIA GIULIA FESR;0;
PC04580SAIFR2021001;Strategia Aree Interne FRIULI - Dolomiti Friulane;SAI;Strategia Aree Interne;2014IT16RFOP009;2014-2020;FESR;POR FRIULI-VENEZIA GIULIA FESR;0;
PC04627SAIFR2021002;Strategia Aree Interne FRIULI-Canal del Ferro Val Canale;SAI;Strategia Aree Interne;2014IT16RFOP009;2014-2020;FESR;POR FRIULI-VENEZIA GIULIA FESR;0;
PC04226SAILA2020001;Strategia Aree Interne LAZIO - VALLE DI COMINO;SAI;Strategia Aree Interne;2020AREAINTLAZ;2014-2020;SNAI;SNAI LAZIO;0;
PC015082018AREAINTTOSC;"Strategia Aree Interne Regione Toscana - ""Linea Casentino Valtiberina""";SAI;Strategia Aree Interne;2014IT05SFOP015;2014-2020;FSE;POR TOSCANA FSE;0;
PC04242SAITO2020001;Strategia Aree Interne TOSCANA - Garfagnana, Lunigiana, Mediavalle del Serchio, Appennino Pistoiese;SAI;Strategia Aree Interne;2014IT05SFOP015;2014-2020;FSE;POR TOSCANA FSE;0;
PC00928STA02;FISH-AGRO TECH CBC;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00949STA23;SECNET;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00939STA13;ENERGY CARE;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00940STA14;MEDS GARDEN;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00941STA15;tARTini;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00942STA16;AGROTUR II;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00944STA18;NAT2CARE;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00945STA19;BLUEGRASS;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00936STA10;INTERBIKE2;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00946STA20;RETRACKING;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00950STA24;CB_WBL;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00951STA25;HARMO-DATA;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00952STA26;CrossCare;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00953STA27;INTEGRA;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00931STA05;NUVOLAK 2;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00930STA04;ARTE;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00932STA06;BioApp;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
