COD_STRUMENTO;DESCR_STRUMENTO;DESCR_TIPO_STRUMENTO;QUERY;NOTE
PO17;Collegamento tra Tangenziale di Napoli (Via Campana), rete viaria costiera e porto di Pozzuoli;STRUMENTI ATTUAZIONE DIRETTA;0;
01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;0;
CIPE_97;Delibera CIPE n. 97/2017;STRUMENTI ATTUAZIONE DIRETTA;0;
SDA-1;procedura attuativa regionale;STRUMENTI ATTUAZIONE DIRETTA;0;
2;PROGRAMMA OPERATIVO 2007-2013;STRUMENTI ATTUAZIONE DIRETTA;0;
CIPE_57;Delibera CIPE n.57/2016;STRUMENTI ATTUAZIONE DIRETTA;0;
;;;0;
SAD_GOV01;Strumento attuazione diretta Pon Governance 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_GOV02;Strumento attuazione diretta POC Governance 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_MET_TO;Torino - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_MET_VE;Venezia - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_DFP03;Strumento attuazione diretta Pon Governance 2014-2020 DFP;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_MET_RC;Reggio Calabria - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_MET_CA;Cagliari - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_MET_PA;Palermo - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_MET_NA;Napoli - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_MET_BO;Bologna - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_MDG04;Strumento attuazione diretta Pon Governance 2014-2020 MDG;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_MET_BA;Bari - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_MET_MI;Milano - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_MET_ME;Messina - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_MET_RO;Roma - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_MET_FI;Firenze - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;0;
