OC_COD_CICLO;OC_DESCR_CICLO;OC_CODICE_PROGRAMMA;OC_DESCRIZIONE_PROGRAMMA;OC_ARTICOLAZIONE_PROGRAMMA;OC_COD_ARTICOLAZ_PROGRAMMA;OC_DESCR_ARTICOLAZ_PROGRAMMA;OC_SUBARTICOLAZIONE_PROGRAMMA;OC_COD_SUBARTICOLAZ_PROGRAMMA;OC_DESCR_SUBARTICOLAZ_PROGRAMMA;QUERY;NOTE
1;Ciclo di programmazione 2007-2013;2017NAPOLI-POZZ;COLLEGAMENTO TANGENZIALE DI NAPOLI AL PORTO DI POZZUOLI;LINEA;1;Infrastrutture;AZIONE;1;Infrastrutture di trasporto ferroviario e stradale;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;5;Assistenza tecnica;OBIETTIVO SPECIFICO;5.a;Rafforzare i processi di programmazione, attuazion;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;3;ASSE 3 - ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;10.1;Riduzione del fallimento formativo precoce e della;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;1;ASSE 1 - OCCUPAZIONE;OBIETTIVO SPECIFICO;8.1;Aumentare l'occupazione dei giovani;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;2;ASSE 2 - INCLUSIONE SOCIALE E LOTTA ALLA POVERTA';OBIETTIVO SPECIFICO;9.3;Aumento/ consolidamento/qualificazione dei servizi;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;1;ASSE 1 - OCCUPAZIONE;OBIETTIVO SPECIFICO;8.5;Favorire l'inserimento lavorativo e l'occupazione;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;4;Asse 4 - CAPACITÃ ISTITUZIONALE E AMMINISTRATIVA;OBIETTIVO SPECIFICO;11.4;Miglioramento dell'efficienza e della qualitÃ  del;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;3;ASSE 3 - ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;10.5;Innalzamento dei livelli di competenze, di parteci;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;4;Asse 4 - CAPACITÃ ISTITUZIONALE E AMMINISTRATIVA;OBIETTIVO SPECIFICO;11.6;Miglioramento della governance multilivello e dell;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;2;ASSE 2 - INCLUSIONE SOCIALE E LOTTA ALLA POVERTA';OBIETTIVO SPECIFICO;9.2;Incremento dell'occupabilitÃ  e della partecipazio;0;
