"OC_CODICE_PROGRAMMA";"x_CICLO";"x_FONDO";"x_AMBITO";"x_GRUPPO";"x_PROGRAMMA";"NOTE"
"2012CLXXXPAC00";"2007-2013";"PROGRAMMI PAC";"POC";"PAC REGIONALI";"PAC CALABRIA";
"2012CAXXXPAC00";"2007-2013";"PROGRAMMI PAC";"POC";"PAC REGIONALI";"PAC CAMPANIA";
"2014MOXXXPAC00";"2007-2013";"PROGRAMMI PAC";"POC";"PAC REGIONALI";"PAC MOLISE";
"2012PUXXXPAC00";"2007-2013";"PROGRAMMI PAC";"POC";"PAC REGIONALI";"PAC PUGLIA";
"2012SIXXXPAC00";"2007-2013";"PROGRAMMI PAC";"POC";"PAC REGIONALI";"PAC SICILIA";
"2012SAXXXPAC00";"2007-2013";"PROGRAMMI PAC";"POC";"PAC REGIONALI";"PAC SARDEGNA";
"2012VAXXXPAC00";"2007-2013";"PROGRAMMI PAC";"POC";"PAC REGIONALI";"PAC VALLE D'AOSTA";
"2013ABXXXPAC00";"2007-2013";"PROGRAMMI PAC";"POC";"PAC REGIONALI";"PAC ABRUZZO";
"2013FVGXXPAC00";"2007-2013";"PROGRAMMI PAC";"POC";"PAC REGIONALI";"PAC FRIULI VENEZIA GIULIA";
"2013UMXXXPAC00";"2007-2013";"PROGRAMMI PAC";"POC";"PAC REGIONALI";"PAC UMBRIA";
"2016PIXXXPAC00";"2007-2013";"PROGRAMMI PAC";"POC";"PAC REGIONALI";"PAC PIEMONTE";
"2017BAXXXPAC00";"2007-2013";"PROGRAMMI PAC";"POC";"PAC REGIONALI";"PAC BASILICATA";
"2016BOXXXPAC00";"2007-2013";"PROGRAMMI PAC";"POC";"PAC REGIONALI";"PAC PA BOLZANO";
"2012MIBACPAC21";"2007-2013";"PROGRAMMI PAC";"POC";"PAC NAZIONALI";"PAC MIBACT";
"2012MINTXPAC21";"2007-2013";"PROGRAMMI PAC";"POC";"PAC NAZIONALI";"PAC MININT SERVIZI DI CURA";
"2012MINTXPAC22";"2007-2013";"PROGRAMMI PAC";"POC";"PAC NAZIONALI";"PAC MININT SICUREZZA E LEGALITA'";
"2012MINTXPAC23";"2007-2013";"PROGRAMMI PAC";"POC";"PAC NAZIONALI";"PAC MININT SICUREZZA E LEGALITA' IN CALABRIA";
"2012MISE1PAC21";"2007-2013";"PROGRAMMI PAC";"POC";"PAC NAZIONALI";"PAC MISE AUTOIMPIEGO E AUTOIMPRENDITORIALITA'";
"2012MISE1PAC22";"2007-2013";"PROGRAMMI PAC";"POC";"PAC NAZIONALI";"PAC MISE IMPRESE, DOMANDA PUBBLICA E PROMOZIONE";
"2012MISE1PAC31";"2007-2013";"PROGRAMMI PAC";"POC";"PAC NAZIONALI";"PAC MISE NUOVE AZIONI E MISURE ANTICICLICHE";
"2012MISE3PAC31";"2007-2013";"PROGRAMMI PAC";"POC";"PAC NAZIONALI";"PAC MISE MISURE ANTICICLICHE";
"2012MITXXPAC32";"2007-2013";"PROGRAMMI PAC";"POC";"PAC NAZIONALI";"PAC MIT SALVAGUARDIA";
"2012MITXXPAC33";"2007-2013";"PROGRAMMI PAC";"POC";"PAC NAZIONALI";"PAC MIT PIANO CITTA'";
"2012MIURXPAC21";"2007-2013";"PROGRAMMI PAC";"POC";"PAC NAZIONALI";"PAC MIUR";
"2012MLPSXPAC21";"2007-2013";"PROGRAMMI PAC";"POC";"PAC NAZIONALI";"PAC MLPS APPRENDISTATO E NEET";
"2012PCMDGPAC21";"2007-2013";"PROGRAMMI PAC";"POC";"PAC NAZIONALI";"PAC PCM GIOVENTU'";
"2014ACTXXPAC00";"2007-2013";"PROGRAMMI PAC";"POC";"PAC NAZIONALI";"PAC GOVERNANCE";
"2007IT052PO005";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE LIGURIA";
"2007IT052PO006";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE LOMBARDIA";
"2007IT052PO007";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE MARCHE";
"2007IT052PO008";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE MOLISE";
"2007IT052PO009";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE PA BOLZANO";
"2007IT052PO010";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE PA TRENTO";
"2007IT052PO011";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE PIEMONTE";
"2007IT052PO012";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE TOSCANA";
"2007IT052PO013";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE UMBRIA";
"2007IT052PO014";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE VALLE D'AOSTA";
"2007IT052PO015";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE VENETO";
"2007IT052PO016";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE SARDEGNA";
"2007IT051PO001";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CONV FSE CAMPANIA";
"2007IT051PO002";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CONV FSE CALABRIA";
"2007IT051PO003";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CONV FSE SICILIA";
"2007IT051PO004";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CONV FSE BASILICATA";
"2007IT051PO005";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CONV FSE PUGLIA";
"2007IT052PO001";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE ABRUZZO";
"2007IT052PO002";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE EMILIA ROMAGNA";
"2007IT052PO003";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE FRIULI VENEZIA GIULIA";
"2007IT052PO004";"2007-2013";"PROGRAMMI FSE";"FSE";"POR";"POR CRO FSE LAZIO";
"2007IT052PO017";"2007-2013";"PROGRAMMI FSE";"FSE";"PON";"PON CRO FSE AZIONI DI SISTEMA";
"2007IT051PO006";"2007-2013";"PROGRAMMI FSE";"FSE";"PON";"PON CONV FSE GOVERNANCE E AZIONI DI SISTEMA";
"2007IT051PO007";"2007-2013";"PROGRAMMI FSE";"FSE";"PON";"PON CONV FSE COMPETENZE PER LO SVILUPPO";
"2007PB006MA023";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PIANO DISCARICHE VENETO";
"2007SI002FAPA1";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PAS COMUNE DI PALERMO";
"2007EM002FA003";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PAS RICOSTRUZIONE EMILIA-ROMAGNA";
"2007IT004FAMA1";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PNA RISANAMENTO AMBIENTALE";
"2007BA001FA012";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PRA BASILICATA";
"2007CL001FA008";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PRA CALABRIA";
"2007CA001FA009";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PRA CAMPANIA";
"2007MO002FA008";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PRA MOLISE";
"2007PU001FA010";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PRA PUGLIA";
"2007SA002FA016";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PRA SARDEGNA";
"2007SI001FA011";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PRA FSC SICILIA";
"2007IT005FAMAC";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"COMPENSAZIONI AMBIENTALI CAMPANIA";
"FSCMUSEOTERME";"2007-2013";"PROGRAMMI FSC";"FSC";"ALTRO";"MUSEO DELLE TERME DI MONTECATINI";
"2007AB003FA001";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PRA ABRUZZO";
"2007AN0021FA01";"2007-2013";"PROGRAMMI FSC";"FSC";"ALTRO";"COMPLETAMENTO SALERNO-REGGIO CALABRIA";
"2007IT001FA003";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PNA DA EXPO AI TERRITORI";
"2007IT001FA004";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PA SICUREZZA EDIFICI SCOLASTICI";
"2007IT001FA005";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PAS DIRETTRICI FERROVIARIE";
"2007IT002FA030";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PAS RI.MED.";
"2007IT004FABC1";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PAS SEDI MUSEALI NAZIONALI";
"2007IT005FAMG1";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PAS GIUSTIZIA CIVILE";
"2007IT006FISMA";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PNA NUOVA IMPRENDITORIALITA' AGRICOLA";
"2007PI004MA014";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA PA TRENTO";
"2007PI004MA002";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA ABRUZZO";
"2007PI004MA013";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA EMILIA ROMAGNA";
"2007PI004MA011";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA FRIULI VENEZIA GIULIA";
"2007PI004MA004";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA LAZIO";
"2007PI004MA008";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA LIGURIA";
"2007PI004MA003";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA LOMBARDIA";
"2007PI004MA007";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA MARCHE";
"2007PI004MA005";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA MOLISE";
"2007PI004MA001";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA PIEMONTE";
"2007PI004MA010";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA TOSCANA";
"2007PI004MA006";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA VALLE D'AOSTA";
"2007PI004MA009";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA VENETO";
"2007AB002FA001";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC ABRUZZO";
"2007EM002FA002";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC EMILIA ROMAGNA";
"2007FR002FA003";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC FRIULI VENEZIA GIULIA";
"2007LI002FA005";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC LIGURIA";
"2007LO002FA006";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC LOMBARDIA";
"2007MA002FA007";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC MARCHE";
