"OC_CODICE_PROGRAMMA";"x_CICLO";"x_AMBITO";"x_GRUPPO";"x_PROGRAMMA";"x_REGNAZ";"TIPO";"NOTE"
"FSC_1420_CDD_04";"2014-2020";"FSC";"ALTRO";"AUTOSTRADA A24-A25";"NAZ";4;
"2014TC16M4TN002";"2014-2020";"CTE";"TRANSNATIONAL";"ADRION";"NAZ";0;
"FSC_1420_CDD_10";"2014-2020";"FSC";"ALTRO";"ALLUVIONE SARDEGNA";"NAZ";4;
"2014TC16RFTN001";"2014-2020";"CTE";"TRANSNATIONAL";"ALPINE SPACE";"NAZ";0;
"2017AUTOIMPIEG";"2014-2020";"FSC";"ALTRI CIPE";"AUTOIMPIEGO";"NAZ";0;"Era: vuoto30"
"FSC_1420_CDD_07";"2014-2020";"FSC";"ALTRI CIPE";"AZIONI DI SISTEMA";"NAZ";4;
"FSC_1420_CDD_09";"2014-2020";"FSC";"ALTRO";"BANDO AREE URBANE DEGRADATE";"NAZ";4;
"FSCPERIFERIE";"2014-2020";"FSC";"ALTRO";"BANDO SICUREZZA PERIFERIE";"NAZ";4;
"2018CAPCULTFSC";"2014-2020";"FSC";"ALTRI CIPE";"CAPITALI ITALIANE DELLA CULTURA";"NAZ";0;
"2014TC16RFTN003";"2014-2020";"CTE";"TRANSNATIONAL";"CENTRAL EUROPE";"NAZ";0;
"COMMTARANTOFSC";"2014-2020";"FSC";"ALTRI CIPE";"CIS AREA DI TARANTO";"NAZ";3;"Verificare se va accorpato a CIS Taranto"
"2016XXPCMFSC002";"2014-2020";"FSC";"ALTRI CIPE";"CITTADELLA GIUDIZIARIA DI SALERNO";"NAZ";0;
"RISOR_ADD";"2014-2020";"FSC";"COFINANZIAMENTO";"Cofinanziamento risorse addizionali comunitarie";"NAZ";4;
"2017NAPOLI-POZZ";"2007-2013";"FSC";"NAZ-INF";"COLLEGAMENTO PORTO DI POZZUOLI";"NAZ";0;"Monitorato su BDU 2014-2020"
"2007IT005FAMAC";"2007-2013";"FSC";"CHK";"COMPENSAZIONI AMBIENTALI CAMPANIA";"CAMPANIA";0;
"FSC_1420_CDD_21";"2014-2020";"FSC";"ALTRI CIPE";"COMPLETAMENTI";"NAZ";4;
"2007AN0021FA01";"2007-2013";"FSC";"CHK";"COMPLETAMENTO SALERNO-REGGIO CALABRIA";"NAZ";0;
"2015MSIAIFSC011";"2014-2020";"FSC";"ALTRI CIPE";"CONTRATTI DI SVILUPPO";"NAZ";0;
"2019AGCOEFSC001";"2014-2020";"FSC";"ALTRI CIPE";"CPT";"NAZ";0;
"FSC_1420_CDD_25";"2014-2020";"FSC";"ALTRO";"CREDITO D'IMPOSTA INVESTIMENTI";"NAZ";4;
"FSC_1420_CDD_05";"2014-2020";"FSC";"ALTRO";"EDIFICI SCOLASTICI STATALI";"NAZ";4;
"2014TC16RFIR004";"2014-2020";"CTE";"INTERREGIONAL";"ESPON";"NAZ";0;
"2007CB163PO022";"2007-2013";"CTE";"INTERREGIONAL";"ESPON";"NAZ";0;
"FSC_1420_CDD_03";"2014-2020";"FSC";"ALTRO";"EVENTI CALAMITOSI 2009";"NAZ";4;
"FONDOGARANFSC";"2014-2020";"FSC";"ALTRI CIPE";"FONDO DI GARANZIA PMI";"NAZ";0;
"FSC_1420_CDD_20";"2014-2020";"FSC";"ALTRO";"FONDO DI GARANZIA PMI (RIDUZIONE)";"NAZ";4;
"FSC_1420_CDD_26";"2014-2020";"FSC";"ALTRO";"FONDO IMPRESE SUD PMI";"NAZ";4;
"2018FSCGIOVIMP";"2014-2020";"FSC";"ALTRI CIPE";"GIOVANI IMPRENDITORI NEL MEZZOGIORNO";"NAZ";0;
"33";"2000-2006";"FSC";"APQ";"IIP FAS ABRUZZO";"ABRUZZO";0;
"37";"2000-2006";"FSC";"APQ";"IIP FAS BASILICATA";"BASILICATA";0;
"38";"2000-2006";"FSC";"APQ";"IIP FAS CALABRIA";"CALABRIA";0;
"35";"2000-2006";"FSC";"APQ";"IIP FAS CAMPANIA";"CAMPANIA";0;
"28";"2000-2006";"FSC";"APQ";"IIP FAS EMILIA ROMAGNA";"EMILIA-ROMAGNA";0;
"26";"2000-2006";"FSC";"APQ";"IIP FAS FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA";0;
"42";"2000-2006";"FSC";"APQ";"IIP FAS INTESA NON FORMALIZZATA";"NAZ";0;
"32";"2000-2006";"FSC";"APQ";"IIP FAS LAZIO";"LAZIO";0;
"27";"2000-2006";"FSC";"APQ";"IIP FAS LIGURIA";"LIGURIA";0;
"1";"2000-2006";"FSC";"APQ";"IIP FAS LOMBARDIA";"LOMBARDIA";0;
"4";"2000-2006";"FSC";"APQ";"IIP FAS MARCHE";"MARCHE";0;
"34";"2000-2006";"FSC";"APQ";"IIP FAS MOLISE";"MOLISE";0;
"50";"2000-2006";"FSC";"APQ";"IIP FAS MULTIREGIONALE";"NAZ";0;
"41";"2000-2006";"FSC";"APQ";"IIP FAS P.A. BOLZANO";"PA BOLZANO";0;
"40";"2000-2006";"FSC";"APQ";"IIP FAS P.A. TRENTO";"PA TRENTO";0;
"21";"2000-2006";"FSC";"APQ";"IIP FAS PIEMONTE";"PIEMONTE";0;
"36";"2000-2006";"FSC";"APQ";"IIP FAS PUGLIA";"PUGLIA";0;
"5";"2000-2006";"FSC";"APQ";"IIP FAS SARDEGNA";"SARDEGNA";0;
"39";"2000-2006";"FSC";"APQ";"IIP FAS SICILIA";"SICILIA";0;
"2";"2000-2006";"FSC";"APQ";"IIP FAS TOSCANA";"TOSCANA";0;
"3";"2000-2006";"FSC";"APQ";"IIP FAS UMBRIA";"UMBRIA";0;
"22";"2000-2006";"FSC";"APQ";"IIP FAS VALLE D'AOSTA";"VALLE D'AOSTA";0;
"25";"2000-2006";"FSC";"APQ";"IIP FAS VENETO";"VENETO";0;
"FSC_1420_CDD_02";"2014-2020";"FSC";"ALTRO";"ILVA";"NAZ";4;
"FSCRESTOSUDAGR";"2014-2020";"FSC";"ALTRO";"IMPRENDITORIA GIOVANILE AGRICOLTURA";"NAZ";4;
"2014TC16RFIR002";"2014-2020";"CTE";"INTERREGIONAL";"INTERACT";"NAZ";0;
"2007CB163PO015";"2007-2013";"CTE";"INTERREGIONAL";"INTERACT";"NAZ";0;
"2014TC16RFIR001";"2014-2020";"CTE";"INTERREGIONAL";"INTERREG EUROPE";"NAZ";0;
"2014TC16RFCB034";"2014-2020";"CTE";"CROSSBORDER";"INTERREG FR-ITA ALCOTRA";"NAZ";0;
"2014TC16RFCB020";"2014-2020";"CTE";"CROSSBORDER";"INTERREG GRE-ITALY";"NAZ";0;
