"OC_CODICE_PROGRAMMA";"x_CICLO";"x_AMBITO";"x_GRUPPO";"x_PROGRAMMA";"FLT";"NOTE"
"2012CLXXXPAC00";"2007-2013";"POC";"PAC REGIONALI";"PAC CALABRIA";"CALABRIA";
"2012CAXXXPAC00";"2007-2013";"POC";"PAC REGIONALI";"PAC CAMPANIA";"CAMPANIA";
"2014MOXXXPAC00";"2007-2013";"POC";"PAC REGIONALI";"PAC MOLISE";"MOLISE";
"2012PUXXXPAC00";"2007-2013";"POC";"PAC REGIONALI";"PAC PUGLIA";"PUGLIA";
"2012SIXXXPAC00";"2007-2013";"POC";"PAC REGIONALI";"PAC SICILIA";"SICILIA";
"2012SAXXXPAC00";"2007-2013";"POC";"PAC REGIONALI";"PAC SARDEGNA";"SARDEGNA";
"2012VAXXXPAC00";"2007-2013";"POC";"PAC REGIONALI";"PAC VALLE D'AOSTA";"VALLE D'AOSTA";
"2013ABXXXPAC00";"2007-2013";"POC";"PAC REGIONALI";"PAC ABRUZZO";"ABRUZZO";
"2013FVGXXPAC00";"2007-2013";"POC";"PAC REGIONALI";"PAC FRIULI VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA";
"2013UMXXXPAC00";"2007-2013";"POC";"PAC REGIONALI";"PAC UMBRIA";"UMBRIA";
"2016PIXXXPAC00";"2007-2013";"POC";"PAC REGIONALI";"PAC PIEMONTE";"PIEMONTE";
"2017BAXXXPAC00";"2007-2013";"POC";"PAC REGIONALI";"PAC BASILICATA";"BASILICATA";
"2016BOXXXPAC00";"2007-2013";"POC";"PAC REGIONALI";"PAC PA BOLZANO";"PA BOLZANO";
"2012MIBACPAC21";"2007-2013";"POC";"PAC NAZIONALI";"PAC MIBACT";"NAZ";
"2012MINTXPAC21";"2007-2013";"POC";"PAC NAZIONALI";"PAC MININT SERVIZI DI CURA";"NAZ";
"2012MINTXPAC22";"2007-2013";"POC";"PAC NAZIONALI";"PAC MININT SICUREZZA E LEGALITA'";"NAZ";
"2012MINTXPAC23";"2007-2013";"POC";"PAC NAZIONALI";"PAC MININT SICUREZZA E LEGALITA' IN CALABRIA";"NAZ";
"2012MISE1PAC21";"2007-2013";"POC";"PAC NAZIONALI";"PAC MISE AUTOIMPIEGO E AUTOIMPRENDITORIALITA'";"NAZ";
"2012MISE1PAC22";"2007-2013";"POC";"PAC NAZIONALI";"PAC MISE IMPRESE, DOMANDA PUBBLICA E PROMOZIONE";"NAZ";
"2012MISE1PAC31";"2007-2013";"POC";"PAC NAZIONALI";"PAC MISE NUOVE AZIONI E MISURE ANTICICLICHE";"NAZ";
"2012MISE3PAC31";"2007-2013";"POC";"PAC NAZIONALI";"PAC MISE MISURE ANTICICLICHE";"NAZ";
"2012MITXXPAC32";"2007-2013";"POC";"PAC NAZIONALI";"PAC MIT SALVAGUARDIA";"NAZ";
"2012MITXXPAC33";"2007-2013";"POC";"PAC NAZIONALI";"PAC MIT PIANO CITTA'";"NAZ";
"2012MIURXPAC21";"2007-2013";"POC";"PAC NAZIONALI";"PAC MIUR";"NAZ";
"2012MLPSXPAC21";"2007-2013";"POC";"PAC NAZIONALI";"PAC MLPS APPRENDISTATO E NEET";"NAZ";
"2012PCMDGPAC21";"2007-2013";"POC";"PAC NAZIONALI";"PAC PCM GIOVENTU'";"NAZ";
"2014ACTXXPAC00";"2007-2013";"POC";"PAC NAZIONALI";"PAC GOVERNANCE";"NAZ";
"2007IT052PO005";"2007-2013";"FSE";"POR";"POR CRO FSE LIGURIA";"LIGURIA";
"2007IT052PO006";"2007-2013";"FSE";"POR";"POR CRO FSE LOMBARDIA";"LOMBARDIA";
"2007IT052PO007";"2007-2013";"FSE";"POR";"POR CRO FSE MARCHE";"MARCHE";
"2007IT052PO008";"2007-2013";"FSE";"POR";"POR CRO FSE MOLISE";"MOLISE";
"2007IT052PO009";"2007-2013";"FSE";"POR";"POR CRO FSE PA BOLZANO";"PA BOLZANO";
"2007IT052PO010";"2007-2013";"FSE";"POR";"POR CRO FSE PA TRENTO";"PA TRENTO";
"2007IT052PO011";"2007-2013";"FSE";"POR";"POR CRO FSE PIEMONTE";"PIEMONTE";
"2007IT052PO012";"2007-2013";"FSE";"POR";"POR CRO FSE TOSCANA";"TOSCANA";
"2007IT052PO013";"2007-2013";"FSE";"POR";"POR CRO FSE UMBRIA";"UMBRIA";
"2007IT052PO014";"2007-2013";"FSE";"POR";"POR CRO FSE VALLE D'AOSTA";"VALLE D'AOSTA";
"2007IT052PO015";"2007-2013";"FSE";"POR";"POR CRO FSE VENETO";"VENETO";
"2007IT052PO016";"2007-2013";"FSE";"POR";"POR CRO FSE SARDEGNA";"SARDEGNA";
"2007IT051PO001";"2007-2013";"FSE";"POR";"POR CONV FSE CAMPANIA";"CAMPANIA";
"2007IT051PO002";"2007-2013";"FSE";"POR";"POR CONV FSE CALABRIA";"CALABRIA";
"2007IT051PO003";"2007-2013";"FSE";"POR";"POR CONV FSE SICILIA";"SICILIA";
"2007IT051PO004";"2007-2013";"FSE";"POR";"POR CONV FSE BASILICATA";"BASILICATA";
"2007IT051PO005";"2007-2013";"FSE";"POR";"POR CONV FSE PUGLIA";"PUGLIA";
"2007IT052PO001";"2007-2013";"FSE";"POR";"POR CRO FSE ABRUZZO";"ABRUZZO";
"2007IT052PO002";"2007-2013";"FSE";"POR";"POR CRO FSE EMILIA ROMAGNA";"EMILIA-ROMAGNA";
"2007IT052PO003";"2007-2013";"FSE";"POR";"POR CRO FSE FRIULI VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA";
"2007IT052PO004";"2007-2013";"FSE";"POR";"POR CRO FSE LAZIO";"LAZIO";
"2007IT052PO017";"2007-2013";"FSE";"PON";"PON CRO FSE AZIONI DI SISTEMA";"NAZ";
"2007IT051PO006";"2007-2013";"FSE";"PON";"PON CONV FSE GOVERNANCE E AZIONI DI SISTEMA";"NAZ";
"2007IT051PO007";"2007-2013";"FSE";"PON";"PON CONV FSE COMPETENZE PER LO SVILUPPO";"NAZ";
"2007PB006MA023";"2007-2013";"FSC";"PRA-PNA";"PIANO DISCARICHE VENETO";"VENETO";
"2007SI002FAPA1";"2007-2013";"FSC";"PRA-PNA";"PAS COMUNE DI PALERMO";"NAZ";
"2007EM002FA003";"2007-2013";"FSC";"PRA-PNA";"PAS RICOSTRUZIONE EMILIA-ROMAGNA";"EMILIA-ROMAGNA";
"2007IT004FAMA1";"2007-2013";"FSC";"PRA-PNA";"PNA RISANAMENTO AMBIENTALE";"NAZ";
"2007BA001FA012";"2007-2013";"FSC";"PRA-PNA";"PRA BASILICATA";"BASILICATA";
"2007CL001FA008";"2007-2013";"FSC";"PRA-PNA";"PRA CALABRIA";"CALABRIA";
"2007CA001FA009";"2007-2013";"FSC";"PRA-PNA";"PRA CAMPANIA";"CAMPANIA";
"2007MO002FA008";"2007-2013";"FSC";"PRA-PNA";"PRA MOLISE";"MOLISE";
"2007PU001FA010";"2007-2013";"FSC";"PRA-PNA";"PRA PUGLIA";"PUGLIA";
"2007SA002FA016";"2007-2013";"FSC";"PRA-PNA";"PRA SARDEGNA";"SARDEGNA";
"2007SI001FA011";"2007-2013";"FSC";"PRA-PNA";"PRA FSC SICILIA";"SICILIA";
"2007IT005FAMAC";"2007-2013";"FSC";"PRA-PNA";"COMPENSAZIONI AMBIENTALI CAMPANIA";"CAMPANIA";
"FSCMUSEOTERME";"2007-2013";"FSC";"ALTRO";"MUSEO DELLE TERME DI MONTECATINI";"NAZ";
"2007AB003FA001";"2007-2013";"FSC";"PRA-PNA";"PRA ABRUZZO";"ABRUZZO";
"2007AN0021FA01";"2007-2013";"FSC";"ALTRO";"COMPLETAMENTO SALERNO-REGGIO CALABRIA";"NAZ";
"2007IT001FA003";"2007-2013";"FSC";"PRA-PNA";"PNA DA EXPO AI TERRITORI";"NAZ";
"2007IT001FA004";"2007-2013";"FSC";"PRA-PNA";"PA SICUREZZA EDIFICI SCOLASTICI";"NAZ";
"2007IT001FA005";"2007-2013";"FSC";"PRA-PNA";"PAS DIRETTRICI FERROVIARIE";"NAZ";
"2007IT002FA030";"2007-2013";"FSC";"PRA-PNA";"PAS RI.MED.";"NAZ";
"2007IT004FABC1";"2007-2013";"FSC";"PRA-PNA";"PAS SEDI MUSEALI NAZIONALI";"NAZ";
"2007IT005FAMG1";"2007-2013";"FSC";"PRA-PNA";"PAS GIUSTIZIA CIVILE";"NAZ";
"2007IT006FISMA";"2007-2013";"FSC";"PRA-PNA";"PNA NUOVA IMPRENDITORIALITA' AGRICOLA";"NAZ";
"2007PI004MA014";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA PA TRENTO";"PA TRENTO";
"2007PI004MA002";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA ABRUZZO";"ABRUZZO";
"2007PI004MA013";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA EMILIA ROMAGNA";"EMILIA-ROMAGNA";
"2007PI004MA011";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA FRIULI VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA";
"2007PI004MA004";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA LAZIO";"LAZIO";
"2007PI004MA008";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA LIGURIA";"LIGURIA";
"2007PI004MA003";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA LOMBARDIA";"LOMBARDIA";
"2007PI004MA007";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA MARCHE";"MARCHE";
"2007PI004MA005";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA MOLISE";"MOLISE";
"2007PI004MA001";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA PIEMONTE";"PIEMONTE";
"2007PI004MA010";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA TOSCANA";"TOSCANA";
"2007PI004MA006";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA VALLE D'AOSTA";"VALLE D'AOSTA";
"2007PI004MA009";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA VENETO";"VENETO";
"2007AB002FA001";"2007-2013";"FSC";"PAR";"PAR FSC ABRUZZO";"ABRUZZO";
"2007EM002FA002";"2007-2013";"FSC";"PAR";"PAR FSC EMILIA ROMAGNA";"EMILIA-ROMAGNA";
"2007FR002FA003";"2007-2013";"FSC";"PAR";"PAR FSC FRIULI VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA";
"2007LI002FA005";"2007-2013";"FSC";"PAR";"PAR FSC LIGURIA";"LIGURIA";
