OC_CODICE_PROGRAMMA;COD_STRUMENTO;DESCR_STRUMENTO;DESCR_TIPO_STRUMENTO;x_CICLO;x_AMBITO;x_PROGRAMMA;QUERY;NOTE
2017NAPOLI-POZZ;PO17;Collegamento tra Tangenziale di Napoli (Via Campana), rete viaria costiera e porto di Pozzuoli;STRUMENTI ATTUAZIONE DIRETTA;2007-2013;FSC;COLLEGAMENTO PORTO DI POZZUOLI;0;
FSCCOMUNI;3;Piano Operativo FSC 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2007-2013;FSC;RISORSE FSC ASSEGNATE AI COMUNI;0;
FSCCOMUNI;01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2007-2013;FSC;RISORSE FSC ASSEGNATE AI COMUNI;0;
2012XMITRFSC005;2;PROGRAMMA OPERATIVO 2007-2013;STRUMENTI ATTUAZIONE DIRETTA;2007-2013;FSC;LINEA METROPOLITANA DI MILANO M5;0;
2014TC16I5CB008;01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;CTE;IPA-CBC ITA-ALB-MON;0;
2014IT05SFOP014;01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSE;POR SICILIA FSE;0;
2017POCSICILIA1;POCSIC;Programma Complementare Sicilia;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;POC;POC SICILIA;0;
2014IT05SFOP010;01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSE;POR UMBRIA FSE;0;
2014IT05SFOP010;01:::UM201;PROGRAMMA OPERATIVO 2014-2020:::APQ aree interne UMBRIA - SUD-OVEST ORVIETANO;STRUMENTI ATTUAZIONE DIRETTA:::ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;FSE;POR UMBRIA FSE;0;
2014IT05SFOP010;01:::UM202;PROGRAMMA OPERATIVO 2014-2020:::APQ aree interne UMBRIA - Valnerina;STRUMENTI ATTUAZIONE DIRETTA:::ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;FSE;POR UMBRIA FSE;0;
2014IT05SFOP010;01:::UM201;PROGRAMMA OPERATIVO 2014-2020:::APQ aree interne UMBRIA - Nord-Est Umbria;STRUMENTI ATTUAZIONE DIRETTA:::ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;FSE;POR UMBRIA FSE;0;
FSCCOMUNI;CIPE_5;Delibera CIPE n.57/2016;STRUMENTI ATTUAZIONE DIRETTA;2007-2013;FSC;RISORSE FSC ASSEGNATE AI COMUNI;0;
2014IT16RFOP009;01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR;POR FRIULI-VENEZIA GIULIA FESR;0;
2014IT16RFOP009;FR2017001;APQ Aree Interne Friuli Venezia Giulia - Alta Carnia;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;FESR;POR FRIULI-VENEZIA GIULIA FESR;0;
2014IT16RFOP009;FR2021001;APQ aree interne FRIULI - Dolomiti Friulane;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;FESR;POR FRIULI-VENEZIA GIULIA FESR;0;
2014IT16RFOP009;FR2021002;APQ aree interne FRIULI - Canal del Ferro Val Canale;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;FESR;POR FRIULI-VENEZIA GIULIA FESR;0;
2020AREAINTLAZ;LA2020001;APQ aree interne LAZIO - VALLE DEL COMINO;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;SNAI;SNAI LAZIO;0;
PSCLAZIO;LA2020001;APQ aree interne LAZIO - VALLE DEL COMINO;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;FSC;PSC LAZIO;0;
2020AREAINTLAZ;LA2020002;APQ aree interne LAZIO - MONTI REATINI;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;SNAI;SNAI LAZIO;0;
PSCLAZIO;LA2020002;APQ aree interne LAZIO - MONTI REATINI;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;FSC;PSC LAZIO;0;
2020AREAINTLAZ;LA2021001;APQ aree interne LAZIO - Alta Tuscia;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;SNAI;SNAI LAZIO;0;
PSCLAZIO;LA2021001;APQ aree interne LAZIO - Alta Tuscia;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;FSC;PSC LAZIO;0;
2020AREAINTLAZ;LA2021002;APQ aree interne LAZIO - Monti Simbruini;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;SNAI;SNAI LAZIO;0;
PSCLAZIO;LA2021002;APQ aree interne LAZIO - Monti Simbruini;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LAAU;Riqualificazione Aree Urbane;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LABC;Beni Culturali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LABD;Beni Culturali - Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LABE;Beni culturali - II Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LABF;Beni culturali - III Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LABG;Beni culturali - IV atto Integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LABS;Aree sensibili: bonifica dei siti inquinati e gestione rifiuti;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LABT;Aree sensibili: bonifica dei siti inquinati e gestione rifiuti - Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LABU;Bonifica dei siti inquinati e gestione dei rifiuti - II Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LABV;Bonifica dei siti inquinati e gestione dei rifiuti - III Atto Integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LACA;Contratto d'Area Montalto di Castro-Tarquinia;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LADS;Stralcio difesa del suolo e tutela della costa;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LADT;Difesa del suolo e tutela della costa - I Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LADU;Difesa del suolo e tutela della costa - II Atto Integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LAPO;Patto territoriale di Pomezia;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LAPR;Aree sensibili: parchi e riserve;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LAPS;Aree sensibili: parchi e riserve - Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
